Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,2024-25 Total,2025-26 Seat Capacity,2025-26 Female Supernumerary,2025-26 Total,Difference
"Civil Engineering (4 Years, Bachelor of Technology) MANIPUR",19.0,0.0,19.0,19,0,19,0.0
"Civil Engineering (4 Years, Bachelor of Technology) MEGHALAYA",17.0,0.0,17.0,17,0,17,0.0
"Civil Engineering (4 Years, Bachelor of Technology) MIZORAM",17.0,1.0,18.0,15,2,17,-1.0
"Civil Engineering (4 Years, Bachelor of Technology) NAGALAND",15.0,0.0,15.0,15,0,15,0.0
"Civil Engineering (4 Years, Bachelor of Technology) ODISHA",36.0,0.0,36.0,36,0,36,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than ARUNACHAL PRADESH",16.0,0.0,16.0,21,0,21,5.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than ASSAM",78.0,0.0,78.0,78,0,78,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than BIHAR",60.0,0.0,60.0,58,0,58,-2.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",48.0,0.0,48.0,48,0,48,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",12.0,0.0,12.0,12,0,12,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",19.0,0.0,19.0,19,0,19,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than HARYANA",54.0,0.0,54.0,54,0,54,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",61.0,0.0,61.0,62,0,62,1.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than JAMMU & KASHMIR (UT) LADAKH (UT)",88.0,3.0,91.0,82,3,85,-6.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than JHARKHAND",49.0,0.0,49.0,49,0,49,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",57.0,0.0,57.0,57,0,57,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than KERALA",86.0,0.0,86.0,86,0,86,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",45.0,11.0,56.0,40,10,50,-6.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than MANIPUR",19.0,0.0,19.0,19,0,19,0.0
