Institute Name,Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,2024-25 Total,2025-26 Seat Capacity,2025-26 Female Supernumerary,2025-26 Total,Difference
Indian Institute of Technology Roorkee,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",44.0,5.0,49.0,44,5,49,0.0
Indian Institute of Technology Roorkee,"Chemical Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",35.0,0.0,35.0,35,0,35,0.0
Indian Institute of Technology Roorkee,"Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",33.0,0.0,33.0,33,0,33,0.0
Indian Institute of Technology (ISM) Dhanbad,"Chemical Engineering (4 Years, Bachelor of Technology)",49.0,6.0,55.0,49,6,55,0.0
Indian Institute of Technology (ISM) Dhanbad,"Civil Engineering (4 Years, Bachelor of Technology)",61.0,8.0,69.0,61,8,69,0.0
Indian Institute of Technology (ISM) Dhanbad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",124.0,15.0,139.0,124,15,139,0.0
Indian Institute of Technology (ISM) Dhanbad,"Electrical Engineering (4 Years, Bachelor of Technology)",114.0,9.0,123.0,114,9,123,0.0
Indian Institute of Technology (ISM) Dhanbad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",116.0,8.0,124.0,116,8,124,0.0
Indian Institute of Technology (ISM) Dhanbad,"Engineering Physics (4 Years, Bachelor of Technology)",29.0,2.0,31.0,29,2,31,0.0
Indian Institute of Technology (ISM) Dhanbad,"Environmental Engineering (4 Years, Bachelor of Technology)",47.0,1.0,48.0,47,1,48,0.0
